날짜,종가,오픈,고가,저가,거래량,변동 %
2018년 12월 10일,"10,950 ","11,000 ","11,200 ","10,850 ","20,693,000 ",-2.23%
2018년 12월 07일,"11,200 ","11,300 ","11,400 ","11,050 ","21,973,000 ",0.90%
2018년 12월 06일,"11,100 ","11,650 ","11,700 ","11,050 ","28,447,000 ",-4.31%
2018년 12월 05일,"11,600 ","11,650 ","11,900 ","11,500 ","33,246,000 ",-2.93%
2018년 12월 04일,"11,950 ","12,350 ","12,400 ","11,950 ","23,933,000 ",-2.45%
2018년 12월 03일,"12,250 ","11,950 ","12,350 ","11,850 ","22,897,000 ",4.26%
2018년 11월 30일,"11,750 ","11,750 ","12,000 ","11,700 ","12,841,000 ",-0.42%
2018년 11월 29일,"11,800 ","12,250 ","12,350 ","11,800 ","23,164,000 ",-1.26%
2018년 11월 28일,"11,950 ","11,800 ","12,150 ","11,750 ","23,443,000 ",1.27%
2018년 11월 27일,"11,800 ","11,900 ","12,000 ","11,650 ","13,226,000 ",-0.42%
2018년 11월 26일,"11,850 ","11,400 ","11,900 ","11,400 ","16,723,000 ",3.49%
2018년 11월 23일,"11,450 ","11,750 ","11,950 ","11,300 ","26,613,000 ",-2.97%
2018년 11월 22일,"11,800 ","11,500 ","11,850 ","11,500 ","15,753,000 ",2.16%
2018년 11월 21일,"11,550 ","11,650 ","11,650 ","11,200 ","27,275,000 ",-1.28%
2018년 11월 20일,"11,700 ","11,750 ","11,900 ","11,600 ","23,590,000 ",-3.31%
2018년 11월 19일,"12,100 ","12,100 ","12,250 ","11,950 ","19,186,000 ",-0.41%
2018년 11월 16일,"12,150 ","12,200 ","12,350 ","11,850 ","21,650,000 ",0.83%
2018년 11월 15일,"12,050 ","11,600 ","12,100 ","11,500 ","25,210,000 ",3.88%
2018년 11월 14일,"11,600 ","12,100 ","12,150 ","11,550 ","33,809,000 ",-2.52%
2018년 11월 13일,"11,900 ","12,000 ","12,000 ","11,500 ","24,368,000 ",-2.46%
2018년 11월 12일,"12,200 ","12,200 ","12,450 ","11,950 ","26,165,000 ",-0.81%
2018년 11월 09일,"12,300 ","12,200 ","12,400 ","11,900 ","21,273,000 ",1.65%
2018년 11월 08일,"12,100 ","12,000 ","12,300 ","12,000 ","34,067,000 ",3.86%
2018년 11월 07일,"11,650 ","12,100 ","12,350 ","11,300 ","40,241,000 ",-3.32%
2018년 11월 06일,"12,050 ","12,200 ","12,300 ","11,850 ","25,234,000 ",-0.41%
2018년 11월 05일,"12,100 ","12,400 ","12,500 ","11,900 ","37,241,000 ",-2.42%
2018년 11월 02일,"12,400 ","11,900 ","12,750 ","11,700 ","69,001,000 ",8.77%
2018년 11월 01일,"11,400 ","11,500 ","11,950 ","11,350 ","39,555,000 ",0.44%
2018년 10월 31일,"11,350 ","11,200 ","11,600 ","10,850 ","42,723,000 ",2.71%
2018년 10월 30일,"11,050 ","10,000 ","11,200 ","10,000 ","75,307,000 ",6.76%
2018년 10월 29일,"10,350 ","11,050 ","11,250 ","10,350 ","57,081,000 ",-8.00%
2018년 10월 26일,"11,250 ","11,500 ","11,550 ","10,650 ","57,541,000 ",-0.44%
2018년 10월 25일,"11,300 ","11,700 ","11,900 ","11,100 ","90,643,000 ",-7.00%
2018년 10월 24일,"12,150 ","12,150 ","12,550 ","11,900 ","38,226,000 ",0.83%
2018년 10월 23일,"12,050 ","12,750 ","12,950 ","11,950 ","65,676,000 ",-6.23%
2018년 10월 22일,"12,850 ","13,500 ","13,500 ","12,750 ","52,875,000 ",-6.20%
2018년 10월 19일,"13,700 ","13,750 ","13,750 ","13,100 ","29,606,000 ",-2.14%
2018년 10월 18일,"14,000 ","13,650 ","14,350 ","13,550 ","27,805,000 ",2.56%
2018년 10월 17일,"13,650 ","14,000 ","14,050 ","13,400 ","20,749,000 ",-0.73%
2018년 10월 16일,"13,750 ","13,500 ","13,950 ","13,500 ","13,146,000 ",1.10%
2018년 10월 15일,"13,600 ","13,800 ","13,950 ","13,500 ","21,704,000 ",-1.45%
2018년 10월 12일,"13,800 ","13,100 ","13,900 ","13,050 ","30,672,000 ",4.94%
2018년 10월 11일,"13,150 ","13,050 ","13,700 ","13,050 ","52,729,000 ",-5.40%
2018년 10월 10일,"13,900 ","14,300 ","14,450 ","13,600 ","31,134,000 ",-3.47%
2018년 10월 08일,"14,400 ","14,400 ","14,950 ","14,200 ","20,152,000 ",-1.37%
2018년 10월 05일,"14,600 ","15,000 ","15,050 ","14,500 ","33,288,000 ",-2.67%
2018년 10월 04일,"15,000 ","15,550 ","15,600 ","14,750 ","32,735,000 ",-3.23%
2018년 10월 02일,"15,500 ","15,750 ","15,750 ","15,400 ","22,528,000 ",-0.96%
2018년 10월 01일,"15,650 ","15,800 ","16,000 ","15,550 ","26,540,000 ",-0.95%
2018년 09월 28일,"15,800 ","15,900 ","16,200 ","15,700 ","40,071,000 ",-0.32%
2018년 09월 27일,"15,850 ","16,100 ","16,550 ","15,750 ","46,704,000 ",-3.65%
2018년 09월 21일,"16,450 ","16,800 ","16,800 ","16,100 ","37,634,000 ",-0.30%
2018년 09월 20일,"16,500 ","16,600 ","16,900 ","16,100 ","40,693,000 ",-1.49%
2018년 09월 19일,"16,750 ","16,900 ","16,950 ","16,600 ","28,200,000 ",-0.89%
2018년 09월 18일,"16,900 ","16,750 ","16,950 ","16,450 ","18,921,000 ",0.00%
2018년 09월 17일,"16,900 ","17,300 ","17,400 ","16,800 ","19,192,000 ",-2.59%
2018년 09월 14일,"17,350 ","17,050 ","17,500 ","17,000 ","25,822,000 ",2.06%
2018년 09월 13일,"17,000 ","17,000 ","17,200 ","16,850 ","14,118,000 ",-0.87%
2018년 09월 12일,"17,150 ","16,950 ","17,250 ","16,850 ","27,335,000 ",2.08%
2018년 09월 11일,"16,800 ","17,100 ","17,400 ","16,800 ","40,725,000 ",-2.33%
2018년 09월 10일,"17,200 ","17,450 ","17,650 ","17,050 ","28,048,000 ",-3.37%
2018년 09월 07일,"17,800 ","17,450 ","17,800 ","17,200 ","46,760,000 ",-0.28%
2018년 09월 06일,"17,850 ","18,400 ","18,400 ","17,750 ","24,720,000 ",-3.25%
2018년 09월 05일,"18,450 ","18,400 ","18,550 ","18,100 ","22,978,000 ",0.27%
2018년 09월 04일,"18,400 ","18,350 ","18,550 ","18,150 ","22,011,000 ",0.00%
2018년 09월 03일,"18,400 ","18,350 ","18,700 ","18,300 ","17,515,000 ",0.27%
2018년 08월 31일,"18,350 ","18,150 ","18,400 ","17,750 ","23,538,000 ",0.27%
2018년 08월 30일,"18,300 ","18,250 ","18,500 ","18,050 ","19,295,000 ",0.27%
