날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 06월 26일,"68,900 ","68,300 ","69,600 ","67,900 ","5,020,000 ",3.30%
2019년 06월 25일,"66,700 ","66,700 ","67,400 ","66,300 ","1,870,000 ",-0.30%
2019년 06월 24일,"66,900 ","65,900 ","67,400 ","65,600 ","2,160,000 ",1.52%
2019년 06월 21일,"65,900 ","67,100 ","67,300 ","65,900 ","2,400,000 ",-2.08%
2019년 06월 20일,"67,300 ","67,200 ","67,400 ","66,200 ","2,750,000 ",0.15%
2019년 06월 19일,"67,200 ","65,800 ","67,300 ","65,200 ","6,160,000 ",5.99%
2019년 06월 18일,"63,400 ","63,800 ","64,200 ","63,300 ","1,540,000 ",-0.47%
2019년 06월 17일,"63,700 ","62,800 ","63,800 ","62,400 ","2,430,000 ",0.95%
2019년 06월 14일,"63,100 ","63,200 ","64,000 ","62,600 ","3,490,000 ",-0.63%
2019년 06월 13일,"63,500 ","64,900 ","65,100 ","63,300 ","5,910,000 ",-3.35%
2019년 06월 12일,"65,700 ","66,800 ","67,100 ","65,700 ","2,430,000 ",-2.23%
2019년 06월 11일,"67,200 ","66,900 ","67,800 ","66,700 ","2,420,000 ",0.60%
2019년 06월 10일,"66,800 ","66,100 ","67,000 ","65,800 ","3,090,000 ",2.14%
2019년 06월 07일,"65,400 ","65,200 ","66,000 ","64,600 ","2,350,000 ",0.46%
2019년 06월 05일,"65,100 ","66,900 ","67,600 ","64,900 ","4,810,000 ",0.00%
2019년 06월 04일,"65,100 ","66,500 ","66,700 ","65,100 ","2,770,000 ",-2.25%
2019년 06월 03일,"66,600 ","65,200 ","67,200 ","64,200 ","3,970,000 ",1.99%
2019년 05월 31일,"65,300 ","65,900 ","66,900 ","64,700 ","3,140,000 ",-0.91%
2019년 05월 30일,"65,900 ","66,300 ","66,900 ","65,800 ","3,010,000 ",-0.30%
2019년 05월 29일,"66,100 ","65,600 ","66,700 ","64,900 ","5,910,000 ",0.30%
2019년 05월 28일,"65,900 ","67,200 ","68,300 ","65,900 ","11,150,000 ",-1.49%
2019년 05월 27일,"66,900 ","67,900 ","68,200 ","66,400 ","2,200,000 ",-1.04%
2019년 05월 24일,"67,600 ","67,300 ","68,600 ","67,000 ","3,300,000 ",-0.59%
2019년 05월 23일,"68,000 ","68,400 ","69,100 ","67,300 ","3,100,000 ",-1.31%
2019년 05월 22일,"68,900 ","71,300 ","71,300 ","68,500 ","3,070,000 ",-1.99%
2019년 05월 21일,"70,300 ","70,500 ","72,200 ","69,700 ","3,880,000 ",-0.85%
2019년 05월 20일,"70,900 ","71,800 ","72,800 ","70,700 ","1,970,000 ",-0.98%
2019년 05월 17일,"71,600 ","72,500 ","73,300 ","71,400 ","2,410,000 ",-0.42%
2019년 05월 16일,"71,900 ","74,400 ","75,100 ","71,600 ","3,460,000 ",-3.49%
2019년 05월 15일,"74,500 ","74,800 ","75,100 ","73,900 ","2,050,000 ",-0.13%
2019년 05월 14일,"74,600 ","72,200 ","75,100 ","71,600 ","3,690,000 ",1.50%
2019년 05월 13일,"73,500 ","73,900 ","75,000 ","72,800 ","2,730,000 ",-1.21%
2019년 05월 10일,"74,400 ","76,100 ","76,700 ","73,400 ","5,350,000 ",-2.11%
2019년 05월 09일,"76,000 ","79,600 ","79,700 ","75,200 ","5,510,000 ",-5.35%
2019년 05월 08일,"80,300 ","78,700 ","80,500 ","78,000 ","2,730,000 ",0.50%
2019년 05월 07일,"79,900 ","79,200 ","80,400 ","78,700 ","2,650,000 ",-0.62%
2019년 05월 03일,"80,400 ","81,100 ","81,300 ","80,300 ","2,350,000 ",-0.37%
2019년 05월 02일,"80,700 ","79,700 ","81,200 ","79,100 ","3,090,000 ",2.15%
2019년 04월 30일,"79,000 ","79,400 ","80,700 ","78,100 ","2,950,000 ",-1.25%
2019년 04월 29일,"80,000 ","78,700 ","80,100 ","78,200 ","2,940,000 ",1.78%
2019년 04월 26일,"78,600 ","78,500 ","79,900 ","77,600 ","4,710,000 ",-2.00%
2019년 04월 25일,"80,200 ","78,400 ","81,500 ","78,100 ","5,360,000 ",2.17%
2019년 04월 24일,"78,500 ","81,500 ","81,500 ","77,500 ","4,100,000 ",-3.09%
2019년 04월 23일,"81,000 ","81,000 ","81,800 ","80,400 ","1,780,000 ",0.62%
2019년 04월 22일,"80,500 ","81,500 ","81,800 ","79,900 ","1,890,000 ",-1.59%
2019년 04월 19일,"81,800 ","80,500 ","82,400 ","80,100 ","3,040,000 ",3.28%
2019년 04월 18일,"79,200 ","80,800 ","81,200 ","78,500 ","3,080,000 ",-1.25%
